Country.Region,yr,estimates,pop,,citation
Canada,2019,Population mid-year estimates (millions),37.4110,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Cayman Islands,2019,Population mid-year estimates (millions),0.0649,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Central African Republic,2019,Population mid-year estimates (millions),4.7452,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Chad,2019,Population mid-year estimates (millions),15.9469,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Channel Islands,2019,Population mid-year estimates (millions),0.1723,Refers to Guernsey and Jersey.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Chile,2019,Population mid-year estimates (millions),18.9520,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
China,2019,Population mid-year estimates (millions),1433.7837,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
"China, Hong Kong SAR",2019,Population mid-year estimates (millions),7.4362,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
"China, Macao SAR",2019,Population mid-year estimates (millions),0.6404,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Colombia,2019,Population mid-year estimates (millions),50.3394,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Comoros,2019,Population mid-year estimates (millions),0.8509,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Congo,2019,Population mid-year estimates (millions),5.3805,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Cook Islands,2019,Population mid-year estimates (millions),0.0175,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Costa Rica,2019,Population mid-year estimates (millions),5.0476,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Croatia,2019,Population mid-year estimates (millions),4.1303,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Cuba,2019,Population mid-year estimates (millions),11.3335,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Cyprus,2019,Population mid-year estimates (millions),1.1986,Refers to the whole country.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Czechia,2019,Population mid-year estimates (millions),10.6892,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Dem. People's Rep. Korea,2019,Population mid-year estimates (millions),25.6662,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Dem. Rep. of the Congo,2019,Population mid-year estimates (millions),86.7906,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
Denmark,2019,Population mid-year estimates (millions),5.7719,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
